RecordDate,Total_cases,total_deaths,death_percentage_per_day
2020-01-01,0,0,NULL
2020-01-02,0,0,NULL
2020-01-03,0,0,NULL
2020-01-04,3,0,0.0000
2020-01-05,0,0,NULL
2020-01-06,3,0,0.0000
2020-01-07,0,0,NULL
2020-01-08,1,0,0.0000
2020-01-09,1,0,0.0000
2020-01-10,0,0,NULL
2020-01-11,1,0,0.0000
2020-01-12,42,1,2.3810
2020-01-13,1,0,0.0000
2020-01-14,6,0,0.0000
2020-01-15,0,0,NULL
2020-01-16,0,0,NULL
2020-01-17,4,1,25.0000
2020-01-18,4,0,0.0000
2020-01-19,77,1,1.2987
2020-01-20,79,1,1.2658
2020-01-21,93,2,2.1505
2020-01-22,148,11,7.4324
2020-01-23,134,1,0.7463
2020-01-24,275,8,2.9091
2020-01-25,473,16,3.3827
2020-01-26,700,14,2.0000
2020-01-27,790,26,3.2911
2020-01-28,1779,49,2.7544
2020-01-29,1482,2,0.1350
2020-01-30,1756,38,2.1640
2020-01-31,2017,42,2.0823
2020-02-01,2115,47,2.2222
2020-02-02,2608,103,3.9494
2020-02-03,2837,64,2.2559
2020-02-04,3255,67,2.0584
2020-02-05,3938,72,1.8283
2020-02-06,3718,70,1.8827
2020-02-07,3160,85,2.6899
2020-02-08,3403,87,2.5566
2020-02-09,2665,100,3.7523
2020-02-10,2995,107,3.5726
2020-02-11,2484,100,4.0258
2020-02-12,2035,5,0.2457
2020-02-13,15170,253,1.6678
2020-02-14,4071,152,3.7337
2020-02-15,2662,144,5.4095
2020-02-16,2037,104,5.1055
2020-02-17,2062,98,4.7527
2020-02-18,1911,139,7.2737
2020-02-19,1800,113,6.2778
2020-02-20,424,123,29.0094
2020-02-21,995,3,0.3015
2020-02-22,1054,207,19.6395
2020-02-23,976,6,0.6148
2020-02-24,515,157,30.4854
2020-02-25,784,78,9.9490
2020-02-26,820,63,7.6829
2020-02-27,1101,38,3.4514
2020-02-28,1193,54,4.5264
2020-02-29,1885,63,3.3422
2020-03-01,1729,54,3.1232
2020-03-02,1848,65,3.5173
2020-03-03,1795,68,3.7883
2020-03-04,2115,89,4.2080
2020-03-05,2757,86,3.1193
2020-03-06,2961,106,3.5799
2020-03-07,3208,107,3.3354
2020-03-08,4181,103,2.4635
2020-03-09,4431,203,4.5814
2020-03-10,4990,214,4.2886
2020-03-11,5404,281,5.1999
2020-03-12,8104,345,4.2572
2020-03-13,10111,370,3.6594
2020-03-14,11390,481,4.2230
2020-03-15,13241,439,3.3155
2020-03-16,13170,712,5.4062
2020-03-17,16387,755,4.6073
2020-03-18,19453,896,4.6060
2020-03-19,24370,1117,4.5835
2020-03-20,28698,1279,4.4568
2020-03-21,32982,1590,4.8208
2020-03-22,36018,1995,5.5389
2020-03-23,33126,1934,5.8383
2020-03-24,40190,2148,5.3446
2020-03-25,46665,2675,5.7323
2020-03-26,51051,2839,5.5611
2020-03-27,59781,3345,5.5954
2020-03-28,66325,3833,5.7791
2020-03-29,66580,4095,6.1505
2020-03-30,58108,3892,6.6979
2020-03-31,63950,4537,7.0946
2020-04-01,68094,5014,7.3634
2020-04-02,73649,5377,7.3008
2020-04-03,77052,5798,7.5248
2020-04-04,81602,7576,9.2841
2020-04-05,79991,6494,8.1184
2020-04-06,70923,6004,8.4655
2020-04-07,67537,6936,10.2699
2020-04-08,77372,7549,9.7568
2020-04-09,80590,7144,8.8646
2020-04-10,87225,8318,9.5363
2020-04-11,87423,7624,8.7208
2020-04-12,82570,7386,8.9451
2020-04-13,73397,7016,9.5590
2020-04-14,66072,6650,10.0648
2020-04-15,70831,7149,10.0930
2020-04-16,74708,8400,11.2438
2020-04-17,78942,7967,10.0922
2020-04-18,83214,8945,10.7494
2020-04-19,82425,7202,8.7376
